an,Code_Postal,INSEE_COM,n
2016,59600,59392,1
2016,59607,59392,1
2004,59056,59512,1
2004,59100,59512,1
2010,59056,59512,1
2016,59056,59512,1
2004,59880,59544,1
2010,59880,59544,1
2016,59880,59544,1
2004,59471,59560,1
2010,59471,59560,1
2016,59113,59560,1
2004,59200,59599,1
2004,59208,59599,1
2010,59200,59599,1
2010,59208,59599,1
2016,59200,59599,1
2016,59208,59599,1
2004,59322,59606,1
2010,59322,59606,1
2016,59322,59606,1
2004,59393,59650,1
2010,59393,59650,1
2004,60021,60057,1
2010,60021,60057,1
2016,60021,60057,1
2004,60607,60157,1
2010,60607,60157,1
2016,60600,60157,1
2004,60204,60159,1
2004,60321,60159,1
2010,60204,60159,1
2010,60321,60159,1
2016,60204,60159,1
2016,60321,60159,1
2004,60109,60175,1
2010,60109,60175,1
2016,60109,60175,1
2004,60400,60471,1
2010,60400,60471,1
2004,60309,60612,1
2010,60309,60612,1
2016,60309,60612,1
2004,61014,61001,1
2010,61014,61001,1
2016,61014,61001,1
2004,61202,61006,1
2010,61202,61006,1
2016,61203,61006,1
2004,61600,61168,1
2004,61104,61169,1
2010,61104,61169,1
2016,61104,61169,1
2004,61305,61214,1
2010,61305,61214,1
2016,61305,61214,1
2004,62022,62041,1
2010,62012,62041,1
2010,62022,62041,1
2016,62012,62041,1
2016,62022,62041,1
2004,62260,62048,1
2004,62404,62119,1
2004,62408,62119,1
2010,62404,62119,1
2010,62408,62119,1
2016,62404,62119,1
2016,62408,62119,1
2004,62321,62160,1
2010,62321,62160,1
2016,62321,62160,1
2004,62107,62193,1
2010,62107,62193,1
2016,62107,62193,1
2010,62460,62270,1
2016,62460,62270,1
2004,62302,62498,1
2010,62302,62498,1
2016,62307,62498,1
2004,62800,62510,1
2010,62800,62510,1
2016,62800,62510,1
2004,62180,62688,1
2010,62180,62688,1
2016,62180,62688,1
2004,62223,62744,1
2004,62222,62758,1
2010,62280,62758,1
2016,62280,62758,1
2004,62505,62765,1
2010,62505,62765,1
2016,62505,62765,1
2004,63600,63003,1
2004,63110,63032,1
2010,63110,63032,1
2016,63110,63032,1
2004,63058,63113,1
2010,63003,63113,1
2016,63003,63113,1
2010,63503,63178,1
2016,63503,63178,1
2004,63200,63300,1
2004,63307,63430,1
2010,63307,63430,1
2016,63307,63430,1
2004,64100,64102,1
2004,64109,64102,1
2004,64115,64102,1
2010,64100,64102,1
2010,64109,64102,1
2016,64100,64102,1
2016,64109,64102,1
2004,64403,64422,1
2010,64403,64422,1
2016,64403,64422,1
2016,64404,64422,1
2004,64301,64430,1
2010,64301,64430,1
2004,64046,64445,1
2004,64075,64445,1
2010,64046,64445,1
2010,64075,64445,1
2016,64046,64445,1
2016,64075,64445,1
2004,64500,64483,1
2004,64120,64493,1
2010,64120,64493,1
2016,64120,64493,1
2004,65308,65258,1
2010,65300,65258,1
2016,65300,65258,1
2004,65100,65286,1
2010,65100,65286,1
2016,65107,65286,1
2004,65000,65440,1
2004,65013,65440,1
2010,65000,65440,2
2016,65000,65440,1
2016,65013,65440,1
2004,66012,66136,1
2004,66046,66136,1
2004,66100,66136,1
2010,66012,66136,1
2010,66046,66136,1
2010,66100,66136,1
2016,66012,66136,1
2016,66046,66136,1
2016,66100,66136,1
2004,67504,67180,1
2010,67504,67180,1
2016,67504,67180,1
2004,67340,67222,1
2004,67211,67348,1
2004,67703,67437,1
2010,67703,67437,1
2016,67703,67437,1
2004,67303,67447,1
2010,67303,67447,1
2016,67303,67447,1
2004,67604,67462,1
2010,67604,67462,1
2016,67606,67462,1
2004,67082,67482,1
2004,67085,67482,1
2004,67091,67482,1
2004,67098,67482,1
2010,67082,67482,1
2010,67085,67482,1
2010,67098,67482,1
2016,67082,67482,1
2016,67085,67482,1
2016,67098,67482,1
2004,67166,67544,1
2010,67166,67544,1
2016,67166,67544,1
2004,68134,68004,1
2010,68134,68004,1
2016,68134,68004,1
2004,68003,68066,1
2004,68020,68066,1
2010,68003,68066,1
2010,68020,68066,1
2016,68003,68066,1
2016,68020,68066,1
2004,68051,68224,1
2004,68054,68224,1
2004,68067,68224,1
2010,68051,68224,1
2010,68054,68224,1
2010,68067,68224,1
2016,68051,68224,2
2016,68054,68224,1
2004,68300,68297,1
2010,68300,68297,1
2016,68300,68297,1
2004,68800,68334,1
2010,68800,68334,1
2016,68802,68334,1
2004,69593,69010,1
2004,69400,69013,1
2010,69400,69013,1
2016,69400,69013,1
2010,69500,69029,1
2016,69677,69029,1
2004,69130,69081,1
2010,69130,69081,1
2016,69130,69081,1
2004,69700,69091,1
2010,69700,69091,1
2016,69700,69091,1
2004,69400,69092,1
2010,69400,69092,1
2016,69400,69092,1
2004,69310,69152,1
2010,69310,69152,1
2016,69310,69152,1
2004,69560,69189,1
2004,69110,69202,1
2010,69110,69202,1
2016,69110,69202,1
2004,69173,69243,1
2010,69173,69243,1
2004,69120,69256,1
2010,69120,69256,1
2016,69120,69256,1
2004,69694,69259,1
2010,69200,69259,1
2016,69694,69259,1
2004,69655,69264,1
2004,69626,69266,1
2010,69626,69266,1
2016,69626,69266,1
2004,69150,69275,1
2004,69140,69286,1
2010,69165,69286,1
